Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,175.05,-117.95,90,top
C2,0.1u,C_0402_1005Metric,173.35,-118.42,90,top
C3,10u,C_0805_2012Metric,197.83,-134.33,90,top
C4,10u,C_0805_2012Metric,195.46,-134.34,90,top
C5,22n,C_0402_1005Metric,184.77,-126.42,180,top
C6,1n,C_0402_1005Metric,171.89,-119.18,180,top
C7,22n,C_0402_1005Metric,174.01,-128.05,0,top
C8,0.1u,C_0402_1005Metric,177.31,-117.11,0,top
C9,47p,C_0402_1005Metric,192.4,-127.1,-90,top
C10,10u,C_0805_2012Metric,177.78,-118.7,0,top
C11,47p,C_0402_1005Metric,192.45,-129.675,-90,top
C12,47p,C_0402_1005Metric,194.425,-126.12,-90,top
C13,47p,C_0402_1005Metric,194.3,-129.695,90,top
C14,10u,C_0805_2012Metric,196.05,-123.375,90,top
C15,10u,C_0805_2012Metric,198.025,-123.375,90,top
C16,0.1u,C_0402_1005Metric,193.0875,-123.45,180,top
C17,0.1u,C_0402_1005Metric,193.0875,-122.53,180,top
C18,0.1u,C_0402_1005Metric,193.0875,-121.61,180,top
C19,10u,C_0805_2012Metric,207.8,-124.8,180,top
C20,10u,C_0805_2012Metric,207.8,-126.775,180,top
C21,10u,C_0805_2012Metric,207.8,-128.75,180,top
C22,10u,C_0805_2012Metric,207.8,-130.725,180,top
C23,0.01u,C_0402_1005Metric,181.6,-131.22,-90,top
C24,10u,C_0805_2012Metric,207.25,-116.625,90,top
C25,10u,C_0805_2012Metric,203.575,-117.325,0,top
C26,10u,C_0805_2012Metric,204.8,-114.4,90,top
C27,10u,C_0805_2012Metric,207.25,-113.225,90,top
C28,0.1u,C_0402_1005Metric,183.18,-121.22,180,top
C29,10u,C_0805_2012Metric,187.76,-125.74,0,top
C30,0.1u,C_0402_1005Metric,196.55,-131.15,0,top
C31,0.1u,C_0402_1005Metric,188.55,-105.925,0,top
C32,0.1u,C_0402_1005Metric,185.09,-108.52,180,top
C33,0.1u,C_0402_1005Metric,185.11,-107.23,180,top
C34,0.1u,C_0402_1005Metric,185.125,-105.975,180,top
C35,5600p,C_0402_1005Metric,197.475,-117.85,0,top
C36,5600p,C_0402_1005Metric,199.125,-111.025,0,top
C37,0.1u,C_0402_1005Metric,199.57,-117.975,0,top
C38,10u,C_0805_2012Metric,187.42,-111.86,90,top
C39,0.1u,C_0402_1005Metric,184.45,-110.85,90,top
C40,10u,C_0805_2012Metric,209.8,-112.225,90,top
C41,100u,CP_EIA-3528-15_AVX-H,189.775,-97.425,90,top
C42,47u,CP_EIA-3528-15_AVX-H,192.175,-116.425,90,top
C43,47u,CP_EIA-3528-15_AVX-H,192.4,-109.15,90,top
C44,47u,CP_EIA-3528-15_AVX-H,197.15,-106.9,90,top
C45,100u,CP_EIA-3528-15_AVX-H,196.475,-102.8,0,top
C46,220u,CP_EIA-3528-15_AVX-H,193.95,-96.025,0,top
C47,220u,CP_EIA-3528-15_AVX-H,193.975,-99.325,0,top
C48,220u,CP_EIA-3528-15_AVX-H,171.275,-102.525,90,top
C49,9p,C_0402_1005Metric,182.175,-116.575,180,top
C50,18p,C_0402_1005Metric,178.975,-116.75,90,top
D1,1N4148W,D_SOD-123,183.88,-128.23,0,top
D2,1N4148W,D_SOD-123,172.375,-131.925,90,top
L1,68u,L_0805_2012Metric,180.375,-117.925,-90,top
R1,4.7k,R_0402_1005Metric,182.71,-126.42,180,top
R2,10k,R_0402_1005Metric,171.92,-118.19,0,top
R3,10k,R_0402_1005Metric,175.97,-128.04,180,top
R4,47k,R_0402_1005Metric,191.35,-127.1,-90,top
R5,47k,R_0402_1005Metric,193.825,-131.1,0,top
R6,2.2k,R_0402_1005Metric,171.27,-128.68,0,top
R7,47k,R_0402_1005Metric,193.4,-126.115,90,top
R8,47k,R_0402_1005Metric,193.375,-129.69,-90,top
R9,5.62k,R_0402_1005Metric,185.9,-131.51,0,top
R10,5.62k,R_0402_1005Metric,188.72,-131.51,0,top
R11,5.62k,R_0402_1005Metric,191.53,-131.46,0,top
R12,5.62k,R_0402_1005Metric,188.72,-132.45,0,top
R13,5.62k,R_0402_1005Metric,185.9,-132.46,0,top
R14,5.62k,R_0402_1005Metric,191.53,-132.41,0,top
R15,75,R_0402_1005Metric,213.475,-132.3,90,top
R16,1k,R_0402_1005Metric,186.69,-134.38,90,top
R17,75,R_0402_1005Metric,213.5,-124.4,90,top
R18,1k,R_0402_1005Metric,189.51,-134.32,90,top
R19,1k,R_0402_1005Metric,192.32,-134.31,90,top
R21,2.2k,R_0402_1005Metric,209.725,-122.46,90,top
R22,22k,R_0402_1005Metric,209.75,-120.435,-90,top
R23,2.2k,R_0402_1005Metric,202.6,-122.74,-90,top
R24,22k,R_0402_1005Metric,202.575,-120.49,-90,top
R26,33k,R_0402_1005Metric,205.1,-125.9,180,top
R27,51k,R_0402_1005Metric,205.1,-126.925,180,top
R28,51k,R_0402_1005Metric,205.15,-128.875,180,top
R29,33k,R_0402_1005Metric,205.15,-129.825,180,top
R30,2.7k,R_0402_1005Metric,213.5,-126.375,90,top
R31,47k,R_0402_1005Metric,203.7,-126.46,90,top
R32,47k,R_0402_1005Metric,203.75,-129.34,-90,top
R33,3.2k,R_0402_1005Metric,213.475,-130.325,90,top
R34,1k,R_0402_1005Metric,213.5,-128.35,90,top
R35,5.62k,R_0402_1005Metric,185.28,-118.6,180,top
R36,75R,R_0402_1005Metric,190.025,-118.125,-90,top
R37,75R,R_0402_1005Metric,188.925,-118.135,-90,top
R38,75R,R_0402_1005Metric,187.805,-118.135,-90,top
R39,7.5k,R_0402_1005Metric,202.8,-114.85,180,top
R40,10k,R_0402_1005Metric,202.8,-115.8,180,top
R41,10k,R_0402_1005Metric,202.725,-113.2,180,top
R42,7.5k,R_0402_1005Metric,202.725,-112.25,180,top
R43,75R,R_0402_1005Metric,187.295,-114.615,180,top
R44,75R,R_0402_1005Metric,187.295,-115.555,180,top
R45,75R,R_0402_1005Metric,187.295,-116.505,180,top
R46,10k,R_0402_1005Metric,199.095,-110.075,0,top
R47,10k,R_0402_1005Metric,197.45,-118.775,0,top
R48,100k,R_0402_1005Metric,195.375,-118.8,180,top
R49,100k,R_0402_1005Metric,196.75,-111.05,0,top
R50,10k,R_0402_1005Metric,211.775,-111.125,0,top
R51,10k,R_0402_1005Metric,211.775,-112.15,180,top
R52,47k,R_0402_1005Metric,192.5,-113.04,90,top
R53,330R,R_0402_1005Metric,195.375,-119.975,180,top
R54,330R,R_0402_1005Metric,191.25,-113.05,90,top
R55,330R,R_0402_1005Metric,196.75,-110.05,180,top
R56,75R,R_0402_1005Metric,197.5125,-96.625,0,top
R57,75R,R_0402_1005Metric,197.5125,-99.25,0,top
R58,75R,R_0402_1005Metric,174,-104.275,0,top
R59,47k,R_0402_1005Metric,173.275,-129.075,0,top
R60,100R,R_0402_1005Metric,218.3,-124.975,-90,top
R61,100R,R_0402_1005Metric,215.075,-124.875,-90,top
R62,10k,R_0402_1005Metric,216.145,-113.795,90,top
R63,50k,R_0402_1005Metric,216.145,-111.765,90,top
R64,10k,R_0402_1005Metric,216.15,-118.385,90,top
R65,50k,R_0402_1005Metric,216.15,-116.285,90,top
U1,CD4070,TSSOP-14_4.4x5mm_P0.65mm,178.785,-123.635,90,top
U2,74HC123,TSSOP-16_4.4x5mm_P0.65mm,173.035,-123.6175,90,top
U3,TS924,TSSOP-14_4.4x5mm_P0.65mm,198.92,-127.9,0,top
U4,THS7374,TSSOP-14_4.4x5mm_P0.65mm,188.2075,-121.88,180,top
U5,ICS501,SOIC-8_3.9x4.9mm_P1.27mm,177.34,-132.645,180,top
U6,TS922,TSSOP-8_4.4x3mm_P0.65mm,190.025,-103.475,180,top
U7,TS924,TSSOP-14_4.4x5mm_P0.65mm,197.675,-114.5,180,top
U8,AD725,SOIC-16W_7.5x10.3mm_P1.27mm,177.21,-110.41,180,top
Z1,Conn_01x33_Pin,Molex_502244-3330_1x33-1MP_P0.5mm_Horizontal,179.7,-140.44,0,top
